ts,run_id,lane,exp,model,effort,q,round,rc,seconds,chars
2026-06-11T20:55:24,s02-speed-fable-Q2-r03,2,speed,fable,default,Q2,3,0,18.958,364
2026-06-11T20:55:54,s02-audit-fable-AUD-r01,1,audit,fable,default,AUD,1,0,351.868,14907
2026-06-11T20:56:04,s02-speed-opus-Q2-r02,1,speed,opus,default,Q2,2,0,10.726,350
2026-06-11T20:56:17,s02-speed-fable-Q4-r08,1,speed,fable,default,Q4,8,0,13.173,124
2026-06-11T20:56:38,s02-speed-opus-Q3-r08,1,speed,opus,default,Q3,8,0,20.623,44
2026-06-11T20:57:03,s02-audit-opus-AUD-r07,0,audit,opus,default,AUD,7,0,294.849,13091
2026-06-11T20:57:11,s02-speed-opus-Q3-r05,0,speed,opus,default,Q3,5,0,7.718,83
2026-06-11T20:57:23,s02-speed-opus-Q2-r08,0,speed,opus,default,Q2,8,0,11.539,246
2026-06-11T20:57:29,s02-pin-fable-Q1-r06,0,pin,fable,high,Q1,6,0,6.642,139
2026-06-11T20:57:44,s02-speed-fable-Q3-r06,0,speed,fable,default,Q3,6,0,14.732,44
2026-06-11T20:57:53,s02-speed-fable-Q1-r03,0,speed,fable,default,Q1,3,0,9.164,176
2026-06-11T20:58:02,s02-speed-opus-Q4-r08,0,speed,opus,default,Q4,8,0,9.167,155
2026-06-11T20:58:10,s02-speed-opus-Q5-r06,0,speed,opus,default,Q5,6,0,7.786,31
2026-06-11T20:58:33,s02-speed-fable-Q2-r09,0,speed,fable,default,Q2,9,0,22.815,348
2026-06-11T20:58:38,s02-pin-opus-Q1-r03,0,pin,opus,high,Q1,3,0,4.704,133
2026-06-11T20:58:46,s02-speed-fable-Q1-r04,0,speed,fable,default,Q1,4,0,8.506,176
2026-06-11T20:58:54,s02-speed-fable-Q1-r05,0,speed,fable,default,Q1,5,0,7.485,176
2026-06-11T20:58:58,s02-pin-opus-Q1-r02,0,pin,opus,high,Q1,2,0,4.878,138
2026-06-11T20:59:06,s02-pin-opus-Q1-r04,0,pin,opus,high,Q1,4,0,7.17,133
2026-06-11T20:59:23,s02-pin-fable-Q1-r01,0,pin,fable,high,Q1,1,0,17.172,145
2026-06-11T20:59:36,s02-speed-fable-Q2-r02,0,speed,fable,default,Q2,2,0,13.59,293
2026-06-11T20:59:54,s02-speed-fable-Q5-r07,0,speed,fable,default,Q5,7,0,17.713,3
2026-06-11T21:00:04,s02-speed-opus-Q2-r10,0,speed,opus,default,Q2,10,0,10.178,280
2026-06-11T21:00:20,s02-speed-fable-Q4-r07,0,speed,fable,default,Q4,7,0,15.749,140
2026-06-11T21:00:31,s02-speed-opus-Q4-r06,0,speed,opus,default,Q4,6,0,10.724,119
2026-06-11T21:01:37,s02-audit-fable-AUD-r08,1,audit,fable,default,AUD,8,0,299.328,13422
2026-06-11T21:01:46,s02-speed-opus-Q5-r09,1,speed,opus,default,Q5,9,0,8.238,82
2026-06-11T21:01:50,s02-pin-opus-Q1-r09,1,pin,opus,high,Q1,9,0,4.471,139
2026-06-11T21:02:02,s02-speed-fable-Q3-r01,1,speed,fable,default,Q3,1,0,11.728,44
